2013-02-13 22:26:20 startup archives install
2013-02-13 22:26:20 install base-files <none> 6.5ubuntu6
2013-02-13 22:26:20 status half-installed base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 install base-passwd <none> 3.5.24
2013-02-13 22:26:20 status half-installed base-passwd 3.5.24
2013-02-13 22:26:20 status unpacked base-passwd 3.5.24
2013-02-13 22:26:20 status unpacked base-passwd 3.5.24
2013-02-13 22:26:20 configure base-passwd 3.5.24 3.5.24
2013-02-13 22:26:20 status unpacked base-passwd 3.5.24
2013-02-13 22:26:20 status half-configured base-passwd 3.5.24
2013-02-13 22:26:20 status installed base-passwd 3.5.24
2013-02-13 22:26:20 configure base-files 6.5ubuntu6 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status unpacked base-files 6.5ubuntu6
2013-02-13 22:26:20 status half-configured base-files 6.5ubuntu6
2013-02-13 22:26:21 status installed base-files 6.5ubuntu6
2013-02-13 22:26:21 startup archives install
2013-02-13 22:26:21 upgrade dpkg 1.16.1.2ubuntu7 1.16.1.2ubuntu7
2013-02-13 22:26:21 status half-configured dpkg 1.16.1.2ubuntu7
2013-02-13 22:26:21 status unpacked dpkg 1.16.1.2ubuntu7
2013-02-13 22:26:21 status half-installed dpkg 1.16.1.2ubuntu7
